register_id	name	institution_id	institution_name	created	modified	addresses_roadtype_id	addresses_roadtype_name	addresses_road_id	addresses_road_name	addresses_start_street_number	addresses_end_street_number	addresses_neighborhood_id	addresses_neighborhood_name	addresses_district_id	addresses_district_name	addresses_zip_code	addresses_town	addresses_main_address	addresses_type	values_id	values_attribute_id	values_category	values_attribute_name	values_value	values_outstanding	values_description	secondary_filters_id	secondary_filters_name	secondary_filters_fullpath	secondary_filters_tree	secondary_filters_asia_id	geo_epgs_25831_x	geo_epgs_25831_y	geo_epgs_4326_lat	geo_epgs_4326_lon	estimated_dates	start_date	end_date	timetable
﻿1096153925	Centre Estudis Naturopatia Naima			2001-04-06T00:00:00+02:00	2007-10-09T12:30:45+02:00			228600	C Noguera Pallaresa	59		16	la Bordeta	3	Sants-Montjuïc	8014	BARCELONA	True		132176	20001	Telèfons	Tel.	932964996	True							428181.05037602375	4580550.5633527255	41.37326878650968	2.1411854663249623				
﻿92086007569	Centre de Recursos Educatius per a  Deficients Auditius Pere Barnils			1991-07-05T00:00:00+02:00	2019-01-10T11:23:37+01:00			235208	C Olzinelles	73		16	la Bordeta	3	Sants-Montjuïc	8014	BARCELONA	True		161673	20001	Telèfons	Tel.	934326888	True							427854.34659492655	4580355.989182741	41.37148710805008	2.1373023048520494				
﻿92086007703	Centre Educatiu Mare de Déu del Coll			1989-04-27T00:00:00+02:00	2023-03-13T12:44:41.076018+01:00			320307	C Santuari	28		29	el Coll	6	Gràcia	8032	BARCELONA	True		162213	20001	Telèfons	Tel.	932846543	True		56731069	Ensenyament infantil (3-6 anys)	Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys)	651	65103003000001	429062.03471279156	4585748.435834621	41.42016221739847	2.1511102583797514				
﻿92086007703	Centre Educatiu Mare de Déu del Coll			1989-04-27T00:00:00+02:00	2023-03-13T12:44:41.076018+01:00			320307	C Santuari	28		29	el Coll	6	Gràcia	8032	BARCELONA	True		162213	20001	Telèfons	Tel.	932846543	True		56732068	Educació primària	Planol BCN >> Educació >> Ensenyament reglat >> Educació primària	651	65103003001000	429062.03471279156	4585748.435834621	41.42016221739847	2.1511102583797514				
﻿92086007703	Centre Educatiu Mare de Déu del Coll			1989-04-27T00:00:00+02:00	2023-03-13T12:44:41.076018+01:00			320307	C Santuari	28		29	el Coll	6	Gràcia	8032	BARCELONA	True		162213	20001	Telèfons	Tel.	932846543	True		56732069	Educació secundària	Planol BCN >> Educació >> Ensenyament reglat >> Educació secundària	651	65103003001001	429062.03471279156	4585748.435834621	41.42016221739847	2.1511102583797514				
﻿92086007970	Centre Educatiu Santa Dorotea			1984-07-11T00:00:00+02:00	2025-03-11T09:45:05.952614+01:00			305201	Pg Sant Joan Bosco	24		24	les Tres Torres	5	Sarrià-Sant Gervasi	8017	BARCELONA	True		162199	20001	Telèfons	Tel.	932 032 892	True		56731069	Ensenyament infantil (3-6 anys)	Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys)	651	65103003000001	427190.6175195074	4582807.306116993	41.39350536143271	2.129071949183403				
﻿92086007970	Centre Educatiu Santa Dorotea			1984-07-11T00:00:00+02:00	2025-03-11T09:45:05.952614+01:00			305201	Pg Sant Joan Bosco	24		24	les Tres Torres	5	Sarrià-Sant Gervasi	8017	BARCELONA	True		162199	20001	Telèfons	Tel.	932 032 892	True		56732068	Educació primària	Planol BCN >> Educació >> Ensenyament reglat >> Educació primària	651	65103003001000	427190.6175195074	4582807.306116993	41.39350536143271	2.129071949183403				
﻿92086007970	Centre Educatiu Santa Dorotea			1984-07-11T00:00:00+02:00	2025-03-11T09:45:05.952614+01:00			305201	Pg Sant Joan Bosco	24		24	les Tres Torres	5	Sarrià-Sant Gervasi	8017	BARCELONA	True		162199	20001	Telèfons	Tel.	932 032 892	True		56732069	Educació secundària	Planol BCN >> Educació >> Ensenyament reglat >> Educació secundària	651	65103003001001	427190.6175195074	4582807.306116993	41.39350536143271	2.129071949183403				
﻿92086004835	Institut Valldemossa			1984-05-30T00:00:00+02:00	2025-03-27T08:49:21.417960+01:00			256401	Carrer del Pintor Alsamora	7	9	45	Porta	8	Nou Barris	8016	Barcelona	True		160626	20001	Telèfons	Tel.	933 520 152	True		56732069	Educació secundària	Planol BCN >> Educació >> Ensenyament reglat >> Educació secundària	651	65103003001001	431517092	4587285994	41.43422345982606	2.1803119667419684				
﻿99400145670	Laboratori d’Electroquímica de Materials i del Medi Ambient			2005-10-21T10:38:27+02:00	2023-01-30T15:41:54.095878+01:00			7258	C Martí i Franquès	1		20	la Maternitat i Sant Ramon	4	Les Corts	8028	BARCELONA	True		214856	20001	Telèfons	Tel.	934 039 621	True		56732071	Universitats	Planol BCN >> Educació >> Ensenyament reglat >> Universitats	651	65103003001003	426195.17540403194	4581846.913271867	41.38476479287836	2.117283075395298				
﻿99400145684	Unitat de Recerca Institut Barraquer			2005-10-21T11:47:16+02:00	2023-01-20T14:10:18.664619+01:00			175900	C Laforja	88		26	Sant Gervasi - Galvany	5	Sarrià-Sant Gervasi	8021	BARCELONA	True		215256	20001	Telèfons	Tel.	93 414 67 98	True		56732071	Universitats	Planol BCN >> Educació >> Ensenyament reglat >> Universitats	651	65103003001003	428633.13441252185	4583223.663362895	41.397384632567665	2.1462760581798173				
﻿99400149686	Centre d'Educació Especial Guru	99400522127	Fundació Privada Autista Guru	2005-12-20T13:23:00+01:00	2025-06-12T09:42:29.148895+02:00			261004	Carrer del Poeta Cabanyes	78	80	11	el Poble-sec	3	Sants-Montjuïc	8004	Barcelona	True		214457	20001	Telèfons	Tel.	936755455	True	Extensió 2						430107341	4580359389	41.37171653085996	2.1642398007258454				
﻿75990008599	Centre Educatiu IPSI			1996-09-17T00:00:00+02:00	2023-02-28T13:42:16.091286+01:00			87009	C Comte Borrell	243		9	la Nova Esquerra de l'Eixample	2	Eixample	8029	BARCELONA	True		134508	20001	Telèfons	Tel.	934449000	True		56731069	Ensenyament infantil (3-6 anys)	Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys)	651	65103003000001	428926.0698134656	4582052.3698521	41.38686117014667	2.149917369654088				
﻿75990008599	Centre Educatiu IPSI			1996-09-17T00:00:00+02:00	2023-02-28T13:42:16.091286+01:00			87009	C Comte Borrell	243		9	la Nova Esquerra de l'Eixample	2	Eixample	8029	BARCELONA	True		134508	20001	Telèfons	Tel.	934449000	True		56732068	Educació primària	Planol BCN >> Educació >> Ensenyament reglat >> Educació primària	651	65103003001000	428926.0698134656	4582052.3698521	41.38686117014667	2.149917369654088				
﻿75990008599	Centre Educatiu IPSI			1996-09-17T00:00:00+02:00	2023-02-28T13:42:16.091286+01:00			87009	C Comte Borrell	243		9	la Nova Esquerra de l'Eixample	2	Eixample	8029	BARCELONA	True		134508	20001	Telèfons	Tel.	934449000	True		56732069	Educació secundària	Planol BCN >> Educació >> Ensenyament reglat >> Educació secundària	651	65103003001001	428926.0698134656	4582052.3698521	41.38686117014667	2.149917369654088				
﻿33141645	Escola Oficial Patinatge en Línia			2000-02-02T00:00:00+01:00	2023-07-03T09:47:54.612297+02:00			225500	Nàpols	42		5	el Fort Pienc	2	Eixample	8018	BARCELONA	True		128114	20001	Telèfons	Tel.	625 633 389	True							431779.279930913	4582781.090329668	41.39367157911195	2.1839578397165673				
﻿99400100466	Programa Dona	92168177308	Universitat Politècnica de Catalunya	2004-11-30T08:54:00+01:00	2023-02-01T17:02:36.957944+01:00			169023	Jordi Girona	31		21	Pedralbes	4	Les Corts	8034	BARCELONA	True		212101	20001	Telèfons	Tel.	93 401 77 13	True		56732071	Universitats	Planol BCN >> Educació >> Ensenyament reglat >> Universitats	651	65103003001003	426216.309085875	4582360.912260973	41.389396094671355	2.1174732071947022				
﻿99400177193	Escola Fluvià			2007-02-08T10:32:47+01:00	2023-08-29T13:26:28.212229+02:00			128106	C Fluvià	60		69	Diagonal Mar i el Front Marítim del Poblenou	10	Sant Martí	8019	BARCELONA	True		217600	20001	Telèfons	Tel.	933031016	True		56731069	Ensenyament infantil (3-6 anys)	Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys)	651	65103003000001	433729.4796887195	4584249.648393384	41.40706157632974	2.2071227952966486				
﻿99400177193	Escola Fluvià			2007-02-08T10:32:47+01:00	2023-08-29T13:26:28.212229+02:00			128106	C Fluvià	60		69	Diagonal Mar i el Front Marítim del Poblenou	10	Sant Martí	8019	BARCELONA	True		217600	20001	Telèfons	Tel.	933031016	True		56732068	Educació primària	Planol BCN >> Educació >> Ensenyament reglat >> Educació primària	651	65103003001000	433729.4796887195	4584249.648393384	41.40706157632974	2.2071227952966486				
﻿99400145520	Centre Europeu de Paral.lelisme de Barcelona			2005-10-19T12:48:05+02:00	2023-01-31T11:31:20.019019+01:00			169023	C Jordi Girona	1		21	Pedralbes	4	Les Corts	8034	BARCELONA	True		214823	20001	Telèfons	Tel.	93 401 69 86	True		56732071	Universitats	Planol BCN >> Educació >> Ensenyament reglat >> Universitats	651	65103003001003	426068.4435216841	4582367.122168078	41.38943844715893	2.1157040310387605				
﻿99400145537	Centre Universitari de Sociolingüística i Comunicació			2005-10-19T13:56:49+02:00	2023-02-01T17:02:36.002624+01:00			169409	G.V. Corts Catalanes	585		8	l'Antiga Esquerra de l'Eixample	2	Eixample	8007	BARCELONA	True		214826	20001	Telèfons	Tel.	93 403 70 65	True		56732071	Universitats	Planol BCN >> Educació >> Ensenyament reglat >> Universitats	651	65103003001003	430105.75635522796	4582009.3515178105	41.38657708352391	2.164030568391206				
﻿99400145550	Grup de Compatibilitat Electromagnètica			2005-10-19T15:31:17+02:00	2023-01-20T14:00:28.664252+01:00			169023	C Jordi Girona	1		21	Pedralbes	4	Les Corts	8034	BARCELONA	True		214828	20001	Telèfons	Tel.	93 401 10 21	True		56732071	Universitats	Planol BCN >> Educació >> Ensenyament reglat >> Universitats	651	65103003001003	426083.4433829235	4582335.122483583	41.389151618851365	2.1158873287992446				
﻿99400145554	Grup d'Enginyeria Molecular			2005-10-19T15:43:32+02:00	2023-01-20T14:00:28.598646+01:00			28000	Via Augusta	390		23	Sarrià	5	Sarrià-Sant Gervasi	8017	BARCELONA	True		214830	20001	Telèfons	Tel.	93 267 20 00	True		56732071	Universitats	Planol BCN >> Educació >> Ensenyament reglat >> Universitats	651	65103003001003	426398.70996375964	4583957.872722917	41.40379591152728	2.1194605457742592				
﻿99400387428	El Campus Nord, Ciutat Universitària			2015-05-26T17:18:48+02:00	2023-03-13T11:41:34.698423+01:00			169023	C Jordi Girona	4		21	Pedralbes	4	Les Corts	8034	BARCELONA	True		226768	20001	Telèfons	Tel.	934137800	True							425825.1079418042	4582117.469550738	41.387167536117424	2.1128243953899495				
﻿99400322970	Centre Educatiu Barcelona Vitae Les Corts			2013-07-26T13:56:46+02:00	2023-05-02T10:56:22.676515+02:00			257142	C Pintor Ribalta	2		20	la Maternitat i Sant Ramon	4	Les Corts	8028	BARCELONA	True		225856	20001	Telèfons	Tel.	687 837 036	True		56732073	Formació professional	Planol BCN >> Educació >> Ensenyament reglat >> Formació professional	651	65103003001005	426004.7264015816	4581182.209717458	41.37876060351543	2.115086703291677				
